Trading Day,AAPL,BNTX,BRK-B,CSCO,IYK
176,106.1492615,84.24417114,201.8999939,31.56075287,43.89349747
177,106.0615005,85.96142578,204.3099976,31.56075287,44.56042862
178,107.6899033,86.07985687,206.6300049,32.24648285,45.58205414
179,112.0875931,89.50450134,206.1699982,32.14977264,45.79123306
180,116.0660019,90.79737854,207.4499969,32.72999954,46.43694305
181,115.9341431,90.79737854,208.8500061,32.99373245,46.21260452
182,113.6191711,103.4300537,221.5,33.58275223,45.8852005
183,113.2772903,111.2860031,228.4799957,34.03990555,46.50060654
184,116.7155762,108.0192642,227.3699951,34.57616806,46.93108749
185,116.4420776,100.3014908,224.7200012,33.99593735,46.52789307
186,116.4908981,104.6143646,227.4199982,36.39596558,47.12207031
187,117.5067673,90.32364655,233.1000061,37.39817429,47.57073593
188,116.617897,85.79364777,233.1600037,36.8179512,47.97393036
189,115.2894516,89.25776672,230.0700073,36.32563019,48.05880356
190,115.8853073,93.68907166,229.5299988,36.19376755,48.35287094
191,114.6154861,102.7095947,227.0099945,36.01794815,48.13459396
192,111.2065201,105.1078339,229.5399933,36.60695648,48.71059418
193,112.4958725,100.538353,233.9199982,37.4597168,49.50787735
194,113.3358994,103.5879593,233.1300049,37.36301422,49.63824463
195,113.8828888,108.5522079,231.5500031,37.53883743,49.84438705
196,116.2857819,122.6159286,228.9100037,37.82015991,49.49272537
197,119.8705521,112.5196609,229.6799927,38.27730179,50.02627182
198,120.2222137,119.507103,230.4199982,38.58499527,49.53517151
199,120.0854492,117.1286163,231.0200043,38.77840805,50.0990181
200,119.4114914,118.4313583,231.3500061,39.01576996,50.56285095
201,120.8766632,124.0568466,229.2400055,38.98940277,51.14187241
202,121.4920425,126.4353485,228.1900024,39.0069809,51.32679749
203,118.9523926,121.2046204,227.5099945,39.28830338,50.62651443
204,120.3784866,127.8466415,227.3500061,38.96302032,50.79627609
205,119.5677719,125.6359329,226.3899994,38.96302032,50.51131821
206,118.9523926,106.8546906,222.8500061,38.8927002,50.84547043
207,124.9107437,109.7463913,224.3800049,39.31467819,51.10112381
208,124.8423767,104.3972397,221.9100037,39.31467819,51.09199142
209,125.7117233,105.0387421,224.6799927,39.40258789,51.91674042
210,123.7190933,102.8773727,223.4299927,39.94765091,52.12064362
211,125.252655,105.0683517,223.4900055,39.45533752,51.71588135
212,128.8178711,99.24547577,221.8800049,39.28830338,51.39632416
213,127.9192352,98.75201416,224.2400055,39.01576996,51.69152832
214,128.9058075,95.6925354,226.5299988,39.15643692,52.04455948
215,133.5162354,86.95822906,228.4100037,39.49050522,52.16021347
216,131.7384796,87.12599945,229.5700073,39.24434662,52.01413727
217,130.6151733,82.84273529,229.6499939,39.10367966,52.47975922
218,129.6090851,80.45436859,231.8699951,39.34104538,52.77495956
219,126.4052353,84.60933685,228.4499969,38.95996475,52.3458519
220,127.9680634,85.64560699,227.4700012,38.97768402,52.66540527
221,123.6604843,89.9683609,230.2700043,39.34991074,53.03974533
222,127.8802109,92.46528625,232.8800049,39.84621811,54.08970261
223,128.9839478,99.07769775,234.0299988,39.93484879,55.10315323
224,125.9852295,107.4764557,233.4299927,40.20071793,53.88275528
225,125.8094101,104.0715561,233.0299988,40.58181763,54.41534042
226,127.8508759,101.2686844,234.5099945,40.20071793,54.43056107
227,125.9168472,104.4663239,235.0200043,40.01460266,54.21752167
228,124.1879349,100.2620087,233.4900055,40.26275635,53.69406128
229,124.8619232,103.3313599,234.5500031,40.05006409,54.03187561
230,128.9644165,101.8805771,234.7599945,40.18299103,54.45794296
231,133.6920166,104.0518188,234.1600037,39.97916031,54.36056519
232,135.8409576,107.0224762,232.9199982,39.67782974,54.1962204
233,139.6015625,109.1641083,233.0099945,39.90825653,54.88098145
234,139.8359985,104.9005737,231.5700073,40.11210251,54.88098145
235,138.7615204,104.5847626,227.3600006,40.50205231,53.72449875
236,133.9069214,108.5620804,230.9499969,40.18299103,53.66363525
237,128.8960266,115.4113617,227.8699951,39.50944138,52.40671921
238,131.0254059,114.5823364,229.3200073,40.23616791,53.38972855
239,131.8556671,113.2598572,232.2400055,40.61727142,54.23883057
240,130.8300781,116.4772339,232.6799927,40.5640831,54.03187561
241,134.1999207,116.0232544,235.7700043,41.8757515,54.28448486
